Zip Code,Total Population Age 16+,Ages 16-19,Ages 20-24,Ages 25-29,Ages 30-34,Ages 35-44,Ages 45-54,Ages 55-59,Ages 60-64,Ages 65-74,Ages 75+,Total Population,Make,Fully Vaccinated,Partially Vaccinated,1_plus_dose,booster_recip_count,%_Employed,above_average,over_75_population
92807,29777,1439,1999,2339,1874,4366,5173,2927,2287,4231,3142,35687,WORKHORSE,0.751529,0.049612,0.801141,11968.0,0.8343934766161347,1,0.08804326505450163
92808,16663,1142,1193,979,1130,2570,3446,1971,1622,1634,976,20483,VOLVO,0.737367,0.044363,0.78173,7111.0,0.8135038812673925,1,0.04764927012644632
92821,30623,1790,2658,2739,2396,4721,5778,2745,2360,3353,2083,37712,WORKHORSE,0.78206,0.052137,0.834197,12390.0,0.8120226983453542,1,0.05523440814594824
92823,3534,272,191,149,271,899,742,282,194,247,287,4872,VOLKSWAGEN,0.929903,0.060661,0.990564,2084.0,0.7253694581280788,1,0.05890804597701149
92831,30685,2267,5910,4420,2285,4455,4143,1882,1682,1825,1816,37359,VOLVO,0.6631,0.048508,0.711608,9010.0,0.8213549613212345,0,0.04860943815412618
92832,20192,1442,1932,2347,2261,3432,3292,1397,1192,1632,1265,25837,VOLVO,0.715262,0.057389,0.772651,6265.0,0.7815148817587181,1,0.04896079266168673
92833,41399,2293,3249,4330,3632,6728,7183,3842,3191,4080,2871,52435,VOLVO,0.758818,0.057524,0.816342,15244.0,0.7895298941546677,1,0.054753504338705065
92835,19575,1258,1308,1259,1308,2670,3194,2332,1302,2113,2831,23528,VOLVO,0.816289,0.060218,0.876507,9211.0,0.8319874192451547,1,0.12032471948316899
92840,44703,2946,4097,5030,3812,6866,7861,3875,2698,4192,3326,54735,VOLVO,0.756984,0.064545,0.821529,15477.0,0.8167169087421211,1,0.06076550653146981
92841,27485,1782,2418,2885,1878,4205,4693,2429,2265,3077,1853,33754,VOLVO,0.787569,0.056322,0.843891,10723.0,0.8142738638383599,1,0.054897197369200686
92843,37602,2596,3385,3295,3616,6010,7022,3065,2596,3353,2664,46873,VPG,0.761713,0.058243,0.819956,13582.0,0.8022102276363792,1,0.056834424935463916
92844,19340,1168,1459,2027,1529,2726,3562,1857,1523,2101,1388,23189,VOLVO,0.814344,0.061584,0.875928,8088.0,0.8340161283367113,1,0.05985596619086636
92845,12987,624,950,821,882,2093,2267,1306,1057,1497,1490,16273,WORKHORSE,0.731527,0.037304,0.768831,5125.0,0.7980704234007251,1,0.09156271123947643
92860,22302,1264,1805,1944,1575,3564,4846,2039,1552,2131,1582,26849,WORKHORSE,0.455741,0.033878,0.489619,4035.0,0.8306454616559276,0,0.05892212000446944
92861,4900,252,207,156,107,624,866,639,423,685,941,5822,VOLKSWAGEN,0.717239,0.048003,0.765242,2162.0,0.8416351769151494,1,0.1616283064239093
92865,16560,985,1433,1585,1879,2998,2612,1491,1182,1307,1088,20664,VOLVO,0.699864,0.042555,0.742419,5364.0,0.8013937282229965,1,0.05265195509097948
92866,13023,865,1970,1327,1303,1847,2065,852,724,927,1143,15574,VOLVO,0.651309,0.046276,0.697585,3834.0,0.8362013612430975,0,0.07339155001926287
